,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X17_24N_N_N_0,B4,N24,2017,half,unwarming,0,0.5,0,unclipping,143.9,115.459,3.21,6.62,0.1584,1.465,6.64,115.1304082,56.5461952,58.58421303,NA,14,16.1,13.67272727,5.7,99.2124,-0.31649,NA,3.211280829,4.282982153,-1.071701324,1.126,5.303,6.429
X17_24S_N_C_0,B4,S24,2017,half,unwarming,0,0.5,1,Clipping,107.5,80.1,1.218,5.655,0.1306,1.189,6.51,175.6848176,152.7363212,22.94849637,NA,11,22,15.84848485,5.7,99.2124,-0.31649,NA,3.307327609,3.987422046,-0.680094437,0.814,5.505,6.319
X17_2N_H_N_0,B1,N02,2017,half,warming,1,0.5,0,unclipping,110.9,55.1185,1.6645,4.178,0.0986,0.8125,6.42,154.2266715,108.631261,45.59541044,NA,6,7.633333333,8.381818182,5.7,99.2124,-0.31649,NA,2.537926622,4.023843988,-1.485917366,3.009,3.018,6.027
X17_2S_H_C_0,B1,S02,2017,half,warming,1,0.5,1,Clipping,119.3,95,1.544,6.245,0.1052,0.8415,6.42,369.482061,275.4605952,94.02146578,NA,7,9.7,8.554545455,5.7,99.2124,-0.31649,NA,3.169083867,5.095086368,-1.926002501,1.64,3.293,4.933
X17_3N_N_N_1,B1,N03,2017,normal,unwarming,0,1,0,unclipping,129,102.8095,1.7125,7.56,0.1131,0.9294,6.46,253.7192423,158.4712228,95.24801951,NA,7,15.36666667,12.19090909,5.7,99.2124,-0.31649,NA,3.405246426,5.612553902,-2.207307477,-0.3,4.121,3.821
X17_3S_N_C_1,B1,S03,2017,normal,unwarming,0,1,1,Clipping,88,71.1,1.017,5.895,0.1145,0.8996,6.18,206.1011411,201.9118272,4.189313938,NA,7,17.73333333,13.99393939,5.7,99.2124,-0.31649,NA,3.477139824,4.574746527,-1.097606703,2.442,3.15,5.592
X17_4N_H_N_2,B2,N04,2017,double,warming,1,2,0,unclipping,114.2,91.8475,1.9625,4.89,0.1158,0.9978,6.59,147.0309707,61.37997531,85.65099534,NA,9,17.06666667,13.22424242,5.7,99.2124,-0.31649,NA,3.179940202,4.915201911,-1.735261709,0.751,5.145,5.896
X17_4S_H_C_2,B2,S04,2017,double,warming,1,2,1,Clipping,99.6,77.2,1.2985,6.195,0.1117,0.848,6.35,375.3667214,308.3558968,67.0108246,NA,9,16.93333333,13.07272727,5.7,99.2124,-0.31649,NA,4.394106497,4.526512423,-0.132405926,2.405,3.722,6.127
X17_5N_H_N_0,B2,N05,2017,half,warming,1,0.5,0,unclipping,104.9,80.179,4.3815,6.27,0.1156,0.9873,7.41,259.2005421,8.162223086,251.038319,NA,7,10.43333333,9.345454545,5.7,99.2124,-0.31649,NA,3.6790649,5.101193753,-1.422128854,0.647,4.297,4.944
X17_5S_H_C_0,B2,S05,2017,half,warming,1,0.5,1,Clipping,129,105,1.864,5.715,0.1466,1.326,6.12,452.9455619,371.1174217,81.82814023,NA,6,9.1,8.348484848,5.7,99.2124,-0.31649,NA,2.855777398,3.800550254,-0.944772856,2.815,3.415,6.23
X17_6N_N_N_1,B2,N06,2017,normal,unwarming,0,1,0,unclipping,105.6,85.1155,1.2955,6.165,0.1252,1.071,5.99,236.5843213,193.1448457,43.43947561,NA,8,16.8,11.53939394,5.7,99.2124,-0.31649,NA,2.582872646,3.87909657,-1.296223923,-0.941,5.602,4.661
X17_6S_N_C_1,B2,S06,2017,normal,unwarming,0,1,1,Clipping,133.2,98.8,0.854,10.235,0.1696,1.58,7.04,261.1238772,151.225211,109.8986662,NA,12,19.56666667,16.57575758,5.7,99.2124,-0.31649,NA,4.064980119,5.447552122,-1.382572002,0.77,4.411,5.181
X17_7N_H_N_2,B1,N07,2017,double,warming,1,2,0,unclipping,139.9,107.602,1.215,6.77,0.1338,1.156,6.96,191.563577,157.7241809,33.83939605,NA,7,16.76666667,13.51818182,5.7,99.2124,-0.31649,NA,3.035651314,2.180862435,0.854788879,4.552,5.653,10.205
X17_7S_H_C_2,B1,S07,2017,double,warming,1,2,1,Clipping,124.5,98.7,3.304,12.41,0.1273,1.126,6.34,186.5764763,169.3921962,17.18428012,NA,5,27.9,16.76363636,5.7,99.2124,-0.31649,NA,2.07914063,1.793386017,0.285754612,1.435,5.804,7.239
X17_8N_N_N_0,B1,N08,2017,half,unwarming,0,0.5,0,unclipping,125.1,96.1045,1.186,5.83,0.1366,1.169,6.55,73.4632425,10.14397143,63.31927107,NA,13,12.46666667,12.1,5.7,99.2124,-0.31649,NA,3.014868639,4.84046947,-1.825600831,1.962,3.773,5.735
X17_8S_N_C_0,B1,S08,2017,half,unwarming,0,0.5,1,Clipping,115.3,86.7,1.673,10.9,0.1237,1.058,6.5,333.1776814,264.3291515,68.84852982,NA,13,14.53333333,12.64242424,5.7,99.2124,-0.31649,NA,3.085722404,4.576517346,-1.490794943,4.325,4.779,9.104
X17_9N_N_N_2,B1,N09,2017,double,unwarming,0,2,0,unclipping,99.6,71.6245,3.2645,8.985,0.1458,1.188,6.47,398.06651,388.2875638,9.778946249,NA,6,21.5,17.84545455,5.7,99.2124,-0.31649,NA,4.13337158,6.261038274,-2.127666694,1.186,4.414,5.6
X17_9S_N_C_2,B1,S09,2017,double,unwarming,0,2,1,Clipping,100.6,66,0.9045,8.345,0.1156,0.8816,6.51,269.4079178,269.4079178,0,NA,2,34.43333333,20.41212121,5.7,99.2124,-0.31649,NA,3.661190536,4.368011649,-0.706821113,2.1,4.791,6.891
X18_10N_H_N_1,B2,N10,2018,normal,warming,1,1,0,unclipping,59.4,56.301,11,2.18,0.08,0.76,6.92,107.3959266,32.97139529,74.42453134,NA,9,15.23333333,14.12424242,15.4,124.1044,0.51459,NA,1.291884006,2.021030725,-0.729146719,3.327,5.037,8.364
X18_10S_H_C_1,B2,S10,2018,normal,warming,1,1,1,Clipping,70,64.9,17.6,0.92,0.09,0.78,6.85,141.7800297,55.7589635,86.02106621,NA,8,27.03333333,14.73333333,15.4,124.1044,0.51459,NA,2.838533545,5.457311823,-2.515280405,2.609,4.354,6.963
X18_11N_N_N_0,B2,N11,2018,half,unwarming,0,0.5,0,unclipping,48.5,45.7035,8.71,1.98,0.07,0.58,6.22,75.7433137,21.46000686,54.28330684,NA,8,17.06666667,16.23939394,15.4,124.1044,0.51459,NA,1.74158337,3.108309118,-1.366725748,4.369,3.348,7.717
X18_11S_N_C_0,B2,S11,2018,half,unwarming,0,0.5,1,Clipping,80.5,77.9,13.9,1.1,0.09,0.86,6.51,231.1114637,5.816478171,225.2949855,NA,10,22.43333333,15.56969697,15.4,124.1044,0.51459,NA,2.265136789,4.397094344,-2.131957555,1.228,3.179,4.407
X18_12N_N_N_2,B2,N12,2018,double,unwarming,0,2,0,unclipping,77.8,63.618,12.7,1.94,0.1,0.8,6.24,102.7278658,16.65065783,86.07720801,NA,6,29.2,17.41212121,15.4,124.1044,0.51459,NA,2.240917054,3.185940168,-0.945023114,2.485,3.649,6.134
X18_12S_N_C_2,B2,S12,2018,double,unwarming,0,2,1,Clipping,75,65.1,11.2,0.77,0.06,0.68,6.71,98.08338346,16.89635383,81.18702963,NA,7,29.3,25.25454545,15.4,124.1044,0.51459,NA,2.89439485,4.899049181,-2.004654331,2.295,3.158,5.453
X18_13N_N_N_0,B3,N13,2018,half,unwarming,0,0.5,0,unclipping,85,72.6585,16.5,1.82,0.1,0.95,6.2,127.4139801,15.06816137,112.3458187,NA,8,31.6,16.61515152,15.4,124.1044,0.51459,NA,2.334312839,3.249861948,-0.915549109,4.068,4.19,8.258
X18_13S_N_C_0,B3,S13,2018,half,unwarming,0,0.5,1,Clipping,94.4,79.7,8.95,1.14,0.08,0.8,6.67,233.494638,98.58945174,134.9051862,NA,10,27.53333333,14.22727273,15.4,124.1044,0.51459,NA,2.260743251,2.703449654,-0.442706403,1.947,5.814,7.761
X18_14N_N_N_2,B3,N14,2018,double,unwarming,0,2,0,unclipping,63.2,53.2095,11.3,1.46,0.09,0.8,6.83,730.651346,715.0393926,15.61195339,NA,5,32.3,22.51818182,15.4,124.1044,0.51459,NA,2.957332976,4.334889029,-1.377556053,1.096,4.407,5.503
X18_14S_N_C_2,B3,S14,2018,double,unwarming,0,2,1,Clipping,65.9,56.3,8.2,0.99,0.06,0.69,6.84,510.6534306,501.4517482,9.201682424,NA,7,27.06666667,23.02424242,15.4,124.1044,0.51459,NA,3.473373204,4.1332568,-0.659883596,1.419,4.813,6.232
X18_15N_H_N_0,B3,N15,2018,half,warming,1,0.5,0,unclipping,78.1,56.8455,15.9,1.31,0.11,1.08,6.08,293.0093938,239.0687145,53.94067931,NA,10,23.13333333,15.24545455,15.4,124.1044,0.51459,NA,1.883430997,2.863798366,-0.980367369,2.006,5.043,7.049
X18_15S_H_C_0,B3,S15,2018,half,warming,1,0.5,1,Clipping,58.8,43.7,11.2,2.75,0.07,0.76,6.27,571.126532,283.2398531,287.8866789,NA,10,22.96666667,12.48484848,15.4,124.1044,0.51459,NA,2.749813787,2.295278814,0.454534974,1.702,5.029,6.731
X18_16N_H_N_1,B4,N16,2018,normal,warming,1,1,0,unclipping,53.1,39.9795,15.9,1.5,0.08,0.66,6.44,259.854102,190.9633703,68.89073172,NA,8,18.83333333,14.03636364,15.4,124.1044,0.51459,NA,1.236337226,3.065581574,-1.829244348,0.824,5.375,6.199
X18_16S_H_C_1,B4,S16,2018,normal,warming,1,1,1,Clipping,65.6,56.9,11,3.38,0.09,1.04,6.51,256.2295399,172.8937087,83.33583116,NA,8,22.33333333,19.19090909,15.4,124.1044,0.51459,NA,2.51117661,3.013373271,-0.50219666,2.703,4.172,6.875
X18_17N_N_N_2,B4,N17,2018,double,unwarming,0,2,0,unclipping,87,75.543,18,1.46,0.09,0.86,6.65,766.2355208,13.50037166,752.7351491,NA,4,29.5,21.92424242,15.4,124.1044,0.51459,NA,0.864893467,1.298752221,-0.433858754,1.597,5.486,7.083
X18_17S_N_C_2,B4,S17,2018,double,unwarming,0,2,1,Clipping,53.3,38.9,13.9,1.46,0.07,0.77,6.72,1408.613249,18.70749577,1389.905753,NA,5,38.66666667,21.64242424,15.4,124.1044,0.51459,NA,3.338757484,4.729673623,-1.390916139,1.438,5.61,7.048
X18_18N_H_N_0,B4,N18,2018,half,warming,1,0.5,0,unclipping,51.3,49.7535,9.45,0.7,0.06,0.57,6.45,89.1122874,4.7062096,84.4060778,NA,9,27.4,12.27272727,15.4,124.1044,0.51459,NA,1.415214201,2.95927547,-1.544061269,2.024,3.939,5.963
X18_18S_H_C_0,B4,S18,2018,half,warming,1,0.5,1,Clipping,72.4,60.9,14,1.32,0.1,1.08,6.29,139.4452042,18.34183872,121.1033655,NA,10,25.73333333,12.76666667,15.4,124.1044,0.51459,NA,2.05953723,2.624057045,-0.564519815,1.531,5.127,6.658
X18_19N_N_N_1,B3,N19,2018,normal,unwarming,0,1,0,unclipping,78.3,68.253,12.1,0.97,0.08,0.79,6.54,514.7121803,501.6062944,13.10588586,NA,8,29,22.75151515,15.4,124.1044,0.51459,NA,2.833187906,2.37474392,0.458443986,1.348,3.209,4.557
X18_19S_N_C_1,B3,S19,2018,normal,unwarming,0,1,1,Clipping,63.6,53.9,12.2,1.08,0.07,0.85,6.32,392.3738762,348.3839285,43.98994766,NA,7,37.33333333,25.16363636,15.4,124.1044,0.51459,NA,2.190033265,3.258739434,-1.068706169,0.364,4.815,5.179
X18_1N_H_N_1,B1,N01,2018,normal,warming,1,1,0,unclipping,69,58.749,9.76,0.81,0.09,0.82,6.54,168.4205996,59.27968277,109.1409168,NA,9,34.73333333,16.30606061,15.4,124.1044,0.51459,NA,2.501319662,4.241623031,-1.740303368,3.652,3.463,7.115
X18_1S_H_C_1,B1,S01,2018,normal,warming,1,1,1,Clipping,62.3,53.7,1.2,0.74,0.06,0.55,7.02,322.1482888,211.2704245,110.8778643,NA,9,40.46666667,18.23636364,15.4,124.1044,0.51459,NA,3.295235704,4.526007708,-1.230772004,1.719,5.392,7.111
X18_20N_H_N_1,B3,N20,2018,normal,warming,1,1,0,unclipping,42.8,38.4135,5.66,0.63,0.07,0.61,6.49,251.3505454,224.2453526,27.10519285,NA,6,27.23333333,20.65151515,15.4,124.1044,0.51459,NA,3.073472081,3.786192694,-0.712720613,-0.237,6.388,6.151
X18_20S_H_C_1,B3,S20,2018,normal,warming,1,1,1,Clipping,94.4,76.4,11.3,1.74,0.16,1.81,7.22,253.6063719,184.5416133,69.06475863,NA,5,27.36666667,17.51515152,15.4,124.1044,0.51459,NA,2.545752071,3.194521661,-0.64876959,4.249,3.801,8.05
X18_21N_H_N_2,B3,N21,2018,double,warming,1,2,0,unclipping,78.3,68.2665,10.3,0.93,0.1,1.06,6.99,556.7120015,505.9984338,50.71356775,NA,7,23.3,18.10909091,15.4,124.1044,0.51459,NA,1.937865482,1.17282337,0.765042112,2.117,4.784,6.901
X18_21S_H_C_2,B3,S21,2018,double,warming,1,2,1,Clipping,71.8,58.2,8.27,1.03,0.1,1.09,6.84,534.4255649,508.5170263,25.90853866,NA,5,30.33333333,18.68484848,15.4,124.1044,0.51459,NA,2.903171349,3.227987812,-0.324816462,1.187,4.833,6.02
X18_22N_H_N_2,B4,N22,2018,double,warming,1,2,0,unclipping,54.6,39.714,9.07,1.1,0.09,0.88,7.05,342.3557275,92.86023671,249.4954908,NA,6,27.16666667,16.74545455,15.4,124.1044,0.51459,NA,2.803013778,3.232478325,-0.429464547,1,5.176,6.176
X18_22S_H_C_2,B4,S22,2018,double,warming,1,2,1,Clipping,47.3,42.6,9.34,0.99,0.06,0.71,6.34,119.4981687,63.41715648,56.08101223,NA,8,28.03333333,20.08484848,15.4,124.1044,0.51459,NA,3.599161762,6.625138413,-3.025976651,1.331,4.323,5.654
X18_23N_N_N_1,B4,N23,2018,normal,unwarming,0,1,0,unclipping,82.9,71.7,12.7,1.11,0.09,0.88,5.95,400.38544,349.8395638,50.54587619,NA,7,30.16666667,22.56969697,15.4,124.1044,0.51459,NA,2.582168534,3.50656772,-0.924399186,-0.136,4.092,3.956
X18_23S_N_C_1,B4,S23,2018,normal,unwarming,0,1,1,Clipping,82.1,79.2,25.5,1.4,0.09,1.02,6.71,489.8919819,470.1932108,19.6987711,NA,6,28.66666667,20.05151515,15.4,124.1044,0.51459,NA,3.369129921,3.665516344,-0.296386423,2.404,3.821,6.225
X18_24N_N_N_0,B4,N24,2018,half,unwarming,0,0.5,0,unclipping,60.8,48.0075,16.1,0.99,0.09,0.92,6.98,140.5036378,2.463211429,138.0404264,NA,10,27.2,18.28181818,15.4,124.1044,0.51459,NA,3.085013812,4.484948848,-1.399935037,2.11,4.438,6.548
X18_24S_N_C_0,B4,S24,2018,half,unwarming,0,0.5,1,Clipping,65.6,57.2,12.1,1.32,0.05,0.55,6.69,190.5381972,83.02095013,107.5172471,NA,11,25.86666667,19.18787879,15.4,124.1044,0.51459,NA,3.143980254,4.689337423,-1.545357169,2.159,4.018,6.177
X18_2N_H_N_0,B1,N02,2018,half,warming,1,0.5,0,unclipping,61.4,51.0045,5.13,0.89,0.07,0.58,6.03,76.78730184,21.53053664,55.2567652,NA,9,21.16666667,12.38787879,15.4,124.1044,0.51459,NA,2.515045372,3.884740795,-1.369695422,3.268,3.059,6.327
X18_2S_H_C_0,B1,S02,2018,half,warming,1,0.5,1,Clipping,65.5,55.7,19.4,0.96,0.08,0.67,6.75,253.6207019,116.0997783,137.5209236,NA,12,32.9,12.74545455,15.4,124.1044,0.51459,NA,1.521698852,3.292351539,-1.770652686,1.479,4.147,5.626
X18_3N_N_N_1,B1,N03,2018,normal,unwarming,0,1,0,unclipping,62.4,56.382,5.89,1.41,0.08,0.78,6.62,197.1616764,55.02856914,142.1331073,NA,10,31.8,19.50909091,15.4,124.1044,0.51459,NA,2.327671206,3.310140032,-0.87294981,3.281,2.573,5.854
X18_3S_N_C_1,B1,S03,2018,normal,unwarming,0,1,1,Clipping,57.5,48,9.31,0.66,0.06,0.53,6.71,284.2731108,62.03596425,222.2371465,NA,7,39.3,18.82727273,15.4,124.1044,0.51459,NA,2.771291915,4.717319558,-1.946027642,3.228,2.877,6.105
X18_4N_H_N_2,B2,N04,2018,double,warming,1,2,0,unclipping,73.8,60.837,10.3,1.08,0.07,0.56,6.57,149.6791447,72.64180443,77.03734023,NA,10,26.9,17.65454545,15.4,124.1044,0.51459,NA,1.980268079,3.173085911,-1.192817833,3.457,3.596,7.053
X18_4S_H_C_2,B2,S04,2018,double,warming,1,2,1,Clipping,71.6,67.4,12.7,1.07,0.09,0.83,6.88,317.3197155,227.0488353,90.27088012,NA,9,32.13333333,14.38484848,15.4,124.1044,0.51459,NA,3.530480676,5.801427189,-2.270946514,4.641,3.228,7.869
X18_5N_H_N_0,B2,N05,2018,half,warming,1,0.5,0,unclipping,51,42.738,8.31,0.73,0.08,0.75,7.21,334.9578304,0.01,334.9578304,NA,5,22.3,14.15454545,15.4,124.1044,0.51459,NA,2.747287408,3.362666423,-0.615379015,1.465,4.412,5.877
X18_5S_H_C_0,B2,S05,2018,half,warming,1,0.5,1,Clipping,69.3,59.7,9.63,0.92,0.1,0.94,6.75,243.7483997,51.10270329,192.6456964,NA,10,25.4,13.28787879,15.4,124.1044,0.51459,NA,3.438361639,4.856590089,-1.41822845,2.429,2.926,5.355
X18_6N_N_N_1,B2,N06,2018,normal,unwarming,0,1,0,unclipping,53.3,51.405,16.9,0.62,0.1,0.76,6.16,100.13197,19.7911,80.34087,NA,11,23.9,14.22424242,15.4,124.1044,0.51459,NA,1.602427698,2.848180917,-1.245753219,2.861,2.621,5.482
X18_6S_N_C_1,B2,S06,2018,normal,unwarming,0,1,1,Clipping,62.9,66.5,14,1.06,0.1,0.95,6.67,169.3961537,56.81573774,112.580416,NA,8,33.9,18.58484848,15.4,124.1044,0.51459,NA,3.009949756,4.427605308,-1.417655552,3.17,2.66,5.83
X18_7N_H_N_2,B1,N07,2018,double,warming,1,2,0,unclipping,82.2,85.587,14.2,0.8,0.1,0.92,7.17,561.5391555,494.1088717,67.43028384,NA,7,24.43333333,18.91212121,15.4,124.1044,0.51459,NA,3.098525404,3.981963937,-0.883438534,3.965,4.633,8.598
X18_7S_H_C_2,B1,S07,2018,double,warming,1,2,1,Clipping,99.6,87,14.3,1.07,0.11,1.04,7.09,386.137236,354.4153816,31.72185438,NA,8,34.4,19.31212121,15.4,124.1044,0.51459,NA,2.347377196,3.715544818,-1.368167623,1.413,5.594,7.007
X18_8N_N_N_0,B1,N08,2018,half,unwarming,0,0.5,0,unclipping,79.6,70.044,14.5,0.96,0.12,1.11,6.44,136.4219747,37.76187536,98.66009933,NA,10,23.1,15.90606061,15.4,124.1044,0.51459,NA,2.648212708,4.699805582,-2.051592874,5.014,3.922,8.936
X18_8S_N_C_0,B1,S08,2018,half,unwarming,0,0.5,1,Clipping,56.9,50.5,10.7,0.76,0.08,0.72,6.38,123.5931212,41.23290185,82.36021931,NA,10,25.23333333,14.13939394,15.4,124.1044,0.51459,NA,2.925579627,4.702137548,-1.776557921,4.379,3.102,7.481
X18_9N_N_N_2,B1,N09,2018,double,unwarming,0,2,0,unclipping,83.7,72.384,12,1.87,0.11,0.97,6.95,184.4967697,115.6698144,68.82695531,NA,9,25.73333333,21.77272727,15.4,124.1044,0.51459,NA,3.485383881,4.404851673,-0.919467792,2.381,5.23,7.611
X18_9S_N_C_2,B1,S09,2018,double,unwarming,0,2,1,Clipping,77.4,59.2,15.8,1.5,0.08,0.73,6.8,488.1433153,455.565528,32.57778731,NA,8,33.4,24.16363636,15.4,124.1044,0.51459,NA,2.175549109,3.061644278,-0.886095169,1.419,4.852,6.271
X19_10N_H_N_1,B2,N10,2019,normal,warming,1,1,0,unclipping,82,68.5,5.57,1.9915,0.11478,0.97895,6.26,NA,NA,NA,NA,8,8.4,21.19393939,11.8,106.2482,1.01194,NA,5.501767199,1.420630588,4.081136611,2.513,3.331,5.844
X19_10S_H_C_1,B2,S10,2019,normal,warming,1,1,1,Clipping,47.6,36.5,6.29,2.391,0.09669,0.76328,6.4,NA,NA,NA,NA,4,16.3,22.36969697,11.8,106.2482,1.01194,NA,8.802227856,0.075687899,8.726539956,2.883,3.521,6.404
X19_11N_N_N_0,B2,N11,2019,half,unwarming,0,0.5,0,unclipping,68.5,55.5,4.657,2.068,0.11285,0.77211,6.13,NA,NA,NA,NA,6,13.1,21.37272727,11.8,106.2482,1.01194,NA,0.244913785,-5.515270356,5.76018414,2.743,2.367,5.11
X19_11S_N_C_0,B2,S11,2019,half,unwarming,0,0.5,1,Clipping,71.1,56.1,10.145,2.3005,0.10256,0.87161,5.95,NA,NA,NA,NA,7,17.8,23.46363636,11.8,106.2482,1.01194,NA,3.707933571,5.772881065,-2.064947494,0.023,3.078,3.101
X19_12N_N_N_2,B2,N12,2019,double,unwarming,0,2,0,unclipping,59.3,44.2,7.215,2.0365,0.1006,0.86976,5.84,NA,NA,NA,NA,10,17,23.82424242,11.8,106.2482,1.01194,NA,3.982323604,4.583362886,-0.601039282,1.463,3.068,4.531
X19_12S_N_C_2,B2,S12,2019,double,unwarming,0,2,1,Clipping,83.2,69.8,4.1725,2.436,0.10621,0.8502,6.5,NA,NA,NA,NA,10,25.4,33.43030303,11.8,106.2482,1.01194,NA,3.884188096,4.455506786,-0.571318689,-0.145,3.786,3.641
X19_13N_N_N_0,B3,N13,2019,half,unwarming,0,0.5,0,unclipping,102.5,64.4,13.23,4.0525,0.14001,1.1875,6.23,NA,NA,NA,NA,9,12,24.65151515,11.8,106.2482,1.01194,NA,3.581746606,4.264574472,-0.682827866,2.848,2.802,5.65
X19_13S_N_C_0,B3,S13,2019,half,unwarming,0,0.5,1,Clipping,74.7,47.5,13.21,2.922,0.11382,1.0286,5.71,NA,NA,NA,NA,6,11,24.53333333,11.8,106.2482,1.01194,NA,3.718278951,5.210355223,-1.492076273,2.095,3.083,5.178
X19_14N_N_N_2,B3,N14,2019,double,unwarming,0,2,0,unclipping,32.9,21,7.15,2.8055,0.13932,1.2072,6.05,NA,NA,NA,NA,9,12.9,30.13333333,11.8,106.2482,1.01194,NA,3.049050265,3.936168338,-0.887118073,-1.222,5.75,4.528
X19_14S_N_C_2,B3,S14,2019,double,unwarming,0,2,1,Clipping,83.1,58.4,4.6365,4.4445,0.10271,0.95096,6.19,NA,NA,NA,NA,7,13.9,28.69090909,11.8,106.2482,1.01194,NA,3.614155713,4.278163142,-0.664007429,3.665,2.267,5.932
X19_15N_H_N_0,B3,N15,2019,half,warming,1,0.5,0,unclipping,79.5,60.2,7.04,3.0235,0.09984,0.88511,6.2,NA,NA,NA,NA,8,10.6,16.89393939,11.8,106.2482,1.01194,NA,4.908723476,5.669193689,-0.760470213,2.354,3.627,5.981
X19_15S_H_C_0,B3,S15,2019,half,warming,1,0.5,1,Clipping,122.3,82.7,18.18,2.8405,0.1473,1.203,6.21,NA,NA,NA,NA,8,11.8,16.78181818,11.8,106.2482,1.01194,NA,3.213592073,4.502569092,-1.288977018,2.069,2.785,4.854
X19_16N_H_N_1,B4,N16,2019,normal,warming,1,1,0,unclipping,38.9,33,15.975,2.273,0.10999,0.96573,5.99,NA,NA,NA,NA,6,8.3,20.03939394,11.8,106.2482,1.01194,NA,4.067499121,4.849403313,-0.781904192,1.977,4.311,6.288
X19_16S_H_C_1,B4,S16,2019,normal,warming,1,1,1,Clipping,82,58.2,5.535,2.302,0.0974,0.95084,6.19,NA,NA,NA,NA,3,10.4,22.73636364,11.8,106.2482,1.01194,NA,5.034162371,10.48633312,-5.452170746,1.37,3.371,4.741
X19_17N_N_N_2,B4,N17,2019,double,unwarming,0,2,0,unclipping,171.9,103.8,3.008,2.355,0.12266,1.0674,6.97,NA,NA,NA,NA,7,14.7,26.76363636,11.8,106.2482,1.01194,NA,3.009735549,3.074804633,-0.065069084,0.243,4.064,4.307
X19_17S_N_C_2,B4,S17,2019,double,unwarming,0,2,1,Clipping,79.3,56.9,5.78,2.5655,0.1003,0.87442,6.29,NA,NA,NA,NA,7,8.7,27.43030303,11.8,106.2482,1.01194,NA,4.185127442,6.381987072,-2.19685963,1.869,2.767,4.636
X19_18N_H_N_0,B4,N18,2019,half,warming,1,0.5,0,unclipping,122.2,91,8.27,3.116,0.10233,0.90942,6.14,NA,NA,NA,NA,5,11.8,18.10909091,11.8,106.2482,1.01194,NA,4.019126525,5.331087316,-1.311960791,1.124,3.045,4.169
X19_18S_H_C_0,B4,S18,2019,half,warming,1,0.5,1,Clipping,89.4,81.3,20.865,2.47,0.13634,1.2821,5.87,NA,NA,NA,NA,5,10.2,18.08484848,11.8,106.2482,1.01194,NA,4.304396775,6.861905815,-2.557509041,0.135,4.571,4.706
X19_19N_N_N_1,B3,N19,2019,normal,unwarming,0,1,0,unclipping,112.8,78.8,4.847,3.2675,0.12811,1.195,6.35,NA,NA,NA,NA,6,22.8,26.8969697,11.8,106.2482,1.01194,NA,3.120686588,2.491145938,0.629540649,1.18,3.214,4.394
X19_19S_N_C_1,B3,S19,2019,normal,unwarming,0,1,1,Clipping,122.7,81.4,4.9485,4.053,0.11785,0.94998,6.26,NA,NA,NA,NA,4,25.7,31.66363636,11.8,106.2482,1.01194,NA,4.460941964,5.043268923,-0.582326958,2.154,4.267,6.421
X19_1N_H_N_1,B1,N01,2019,normal,warming,1,1,0,unclipping,75.6,58,1.418,15.41,0.10173,0.96574,6.5,NA,NA,NA,NA,8,18.1,19.20909091,11.8,106.2482,1.01194,NA,2.631080194,1.546383401,1.084696793,4.97,3.416,8.386
X19_1S_H_C_1,B1,S01,2019,normal,warming,1,1,1,Clipping,76.3,58.5,3.8095,4.1005,0.09057,0.69758,6.27,NA,NA,NA,NA,5,18.5,24.08484848,11.8,106.2482,1.01194,NA,4.953963236,4.887850243,0.066112993,1.204,4.97,6.174
X19_20N_H_N_1,B3,N20,2019,normal,warming,1,1,0,unclipping,46.4,43.4,5.74,3.2765,0.11423,0.99796,6.15,NA,NA,NA,NA,3,23.6,24.05151515,11.8,106.2482,1.01194,NA,3.982446898,3.985155289,-0.00270839,2.125,3.052,5.177
X19_20S_H_C_1,B3,S20,2019,normal,warming,1,1,1,Clipping,140,97.1,4.5825,4.516,0.12297,1.105,6.17,NA,NA,NA,NA,4,24.3,22.45757576,11.8,106.2482,1.01194,NA,4.625938112,4.738669689,-0.112731577,3.267,3.321,6.588
X19_21N_H_N_2,B3,N21,2019,double,warming,1,2,0,unclipping,103.4,82.8,6.985,3.0585,0.12594,1.0181,6.3,NA,NA,NA,NA,7,19.9,22.74242424,11.8,106.2482,1.01194,NA,3.473342757,4.519481161,-1.046138404,3.683,3.386,7.069
X19_21S_H_C_2,B3,S21,2019,double,warming,1,2,1,Clipping,97.6,84.9,8.285,2.54,0.10439,0.87994,6.33,NA,NA,NA,NA,6,15.3,24.42121212,11.8,106.2482,1.01194,NA,4.191314929,3.090105249,1.10120968,2.702,3.211,5.913
X19_22N_H_N_2,B4,N22,2019,double,warming,1,2,0,unclipping,193.3,127.5,3.8485,2.629,0.14698,1.3428,6.76,NA,NA,NA,NA,5,12.9,20.44848485,11.8,106.2482,1.01194,NA,4.462344733,4.241902827,0.220441906,1.986,3.606,5.592
X19_22S_H_C_2,B4,S22,2019,double,warming,1,2,1,Clipping,75.5,53.5,2.6995,4.7005,0.1179,0.99611,6.2,NA,NA,NA,NA,7,14.7,27.4969697,11.8,106.2482,1.01194,NA,3.923612837,-2.141498039,6.065110878,1.248,2.753,4.001
